Column1,id,symbol,title,body,cluster,distance,sentiment
10,d56d35562915de99030f9d991c0b683be255b4bc,MSFT,Marriott International (MAR) Share Value Declined While Fort Washington Investment Advisors Decreased Its Stake by $978390; Cvs Health (CVS) Holding Has Raised by Lvw Advisors Llc | The Flecha 123,Marriott International (MAR) Share Value Declined While Fort Washington Investment Advisors Decreased Its Stake by $978390; Cvs Health (CVS) Holding Has Raised by Lvw Advisors Llc September 14 2018 - By Anthony Rauscher Lvw Advisors Llc increased its stake in Cvs Health Corp (CVS) by 18.42% based on its latest 2018Q2 regulatory filing with the SEC. Lvw Advisors Llc bought 5768 shares as the companyӳ stock rose 13.02% with the market. The institutional investor held 37089 shares of the medical and nursing se,"cvs, cvs, health, cvs, health, corporation, health, nyse, corporation, ֠cvs",1.134175292,
11,386841ed95cc82641a5dd34c87ec1f7957d094f6,MSFT,Svb Finl Group (SIVB) Market Valuation Declined While Spindletop Capital Has Cut Stake by $7.42 Million; Sabal Trust Co Continues to Hold Stake in International Business Machs (IBM) | The EN Bulletin,Svb Finl Group (SIVB) Market Valuation Declined While Spindletop Capital Has Cut Stake by $7.42 Million; Sabal Trust Co Continues to Hold Stake in International Business Machs (IBM) September 14 2018 - By Rhonda Roth Spindletop Capital Llc decreased its stake in Svb Finl Group (SIVB) by 24.35% based on its latest 2018Q2 regulatory filing with the SEC. Spindletop Capital Llc sold 25750 shares as the companyӳ stock declined 0.91% while stock markets rallied. The institutional investor held 80000 shares of the,"ibm, international, international, business, corporation, nyse, machines, international, corporation, business",1.178015562,
12,49f535b672bf8007fa5575cd664cd2d06ec284f3,MSFT,Lincoln National Has Increased By $2.07 Million Its Lockheed Martin (LMT) Holding; Unico American (UNAM)'s Sentiment Is 1.5 | Z Tribune,Lincoln National Has Increased By $2.07 Million Its Lockheed Martin (LMT) Holding; Unico American (UNAM)ӳ Sentiment Is 1.5 September 14 2018 - By Theresa McIntyre Unico American Corp (UNAM) investors sentiment increased to 1.5 in Q2 2018. Itӳ up 1.00 from 0.5 in 2018Q1. The ratio is more positive as 3 institutional investors started new or increased stock positions while 2 cut down and sold their stock positions in Unico American Corp. The institutional investors in our database now hold: 1.26 million share,"corporation, technologies, progress, 1q, pacific, lockheed, partners, games, martin, lockheed",2.324023512,
13,d660985aceeca1b0584762aa12061e0c78d62f5c,MSFT,Signia Capital Management Has Lifted By $2.08 Million Its Papa Murphys Hldgs (FRSH) Position; Willis Investment Counsel Upped Suntrust Bank (STI) Position By $1.10 Million | Z Tribune,Signia Capital Management Has Lifted By $2.08 Million Its Papa Murphys Hldgs (FRSH) Position; Willis Investment Counsel Upped Suntrust Bank (STI) Position By $1.10 Million September 14 2018 - By Jimmy Cauthen Willis Investment Counsel increased Suntrust Bank (STI) stake by 8.21% reported in 2018Q2 SEC filing. Willis Investment Counsel acquired 16600 shares as Suntrust Bank (STI)ӳ stock rose 2.15%. The Willis Investment Counsel holds 218746 shares with $14.44M value up from 202146 last quarter. Suntrust Bank,"inc., hold, capital, management, hold, met, lp, capital, suntrust, aetna",1.675996292,
14,cbc274a8337c637d00c5d2111ac90f6c4b5753dd,NFLX,Quantres Asset Management LTD Has Cut Qualcomm (QCOM) Position by $2.04 Million; As Transdigm Group (TDG) Stock Value Rose Allen Investment Management Cut Its Holding by $3.08 Million | K Reviewer,Quantres Asset Management LTD Has Cut Qualcomm (QCOM) Position by $2.04 Million; As Transdigm Group (TDG) Stock Value Rose Allen Investment Management Cut Its Holding by $3.08 Million September 14 2018 - By Ash Maslow Quantres Asset Management Ltd decreased its stake in Qualcomm Inc (QCOM) by 90.1% based on its latest 2018Q2 regulatory filing with the SEC. Quantres Asset Management Ltd sold 36400 shares as the companyӳ stock rose 21.16% with the market. The institutional investor held 4000 shares of the rad,"qualcomm, qcom, nasdaq, incorporated, incorporated, ֠qualcomm, ԑualcomm, broadcom, offshore, group",0.555452258,
15,025a8dcf46fca97e934306e1d7ff16f80b333a7e,NFLX,As Cytosorbents Medical (CTSO) Market Value Rose Eam Investors Has Increased Position; Zevenbergen Capital Investments Has Boosted Jd.Com (JD) Position by $466260; Market Value Declined | Z Tribune,As Cytosorbents Medical (CTSO) Market Value Rose Eam Investors Has Increased Position; Zevenbergen Capital Investments Has Boosted Jd.Com (JD) Position by $466260; Market Value Declined September 14 2018 - By Joe Cepeda Zevenbergen Capital Investments Llc increased its stake in Jd.Com Inc. (JD) by 17.08% based on its latest 2018Q2 regulatory filing with the SEC. Zevenbergen Capital Investments Llc bought 12270 shares as the companyӳ stock declined 33.02% while stock markets rallied. The institutional invest,"international, plc, ltd., limited, declined, amgen, ltd., plc, intl, technologies",1.547332861,
16,52e4f0f2247634dcff37a6e95c4ec5506620cd48,GOOG,Staley Capital Advisers Has Upped By $1.06 Million Its Alphabet C (GOOG) Stake; BUNKER HILL MINING (BHLL) Sellers Decreased By 87.5% Their Shorts | Z Tribune,Staley Capital Advisers Has Upped By $1.06 Million Its Alphabet C (GOOG) Stake; BUNKER HILL MINING (BHLL) Sellers Decreased By 87.5% Their Shorts September 14 2018 - By Mike Johnson BUNKER HILL MINING CORP (OTCMKTS:BHLL) had a decrease of 87.5% in short interest. BHLLӳ SI was 100 shares in September as released by FINRA. Its down 87.5% from 800 shares previously. It closed at $0.2411 lastly. It is down 0.00% since September 14 2017 and is . It has underperformed by 15.62% the S&P500. Staley Capital Advisers,"corporation, technologies, progress, 1q, pacific, lockheed, partners, games, martin, lockheed",2.005112017,
59,53b0f102f823886f65d63f26dd259eda07f224a3,AAPL,12 West Capital Management LP Decreased Atara Biotherapeutics (ATRA) Stake as Valuation Declined; Exxon Mobil (XOM) Stake Has Raised by Lvm Capital Management Ltd | The EN Digest,12 West Capital Management LP Decreased Atara Biotherapeutics (ATRA) Stake as Valuation Declined; Exxon Mobil (XOM) Stake Has Raised by Lvm Capital Management Ltd September 14 2018 - By Ash Maslow Lvm Capital Management Ltd increased its stake in Exxon Mobil (XOM) by 4.83% based on its latest 2018Q2 regulatory filing with the SEC. Lvm Capital Management Ltd bought 6417 shares as the companyӳ stock rose 1.99% with the market. The institutional investor held 139313 shares of the integrated oil company at the ,"exxon, exxon, xom, mobile, nyse, corporation, ԅxxon, oil, xom, mobile",0.803161413,
826,3ea0132cb2c3b85dc70f8f7973592c3e263060d1,AAPL,3 Big Stock Charts for Friday: Comcast Lockheed Martin and PPL | InvestorPlace,Home > Trading > Trading Advice > 3 Big Stock Charts for Friday: Comcast Lockheed Martin and PPL Sep 14 2018 7:24 am EDT September 14 2018 3 Big Stock Charts for Friday: Comcast Lockheed Martin and PPL Thursday's surprising strength sets the stage for a handful of breakout efforts http://bit.ly/2NH5Wii Stocks started and finished the day in the black on Thursday but did so without the help of several of the usual suspects. Netflix (NASDAQ: NFLX ) ended the day down a bit while Advanced Micro Devices (NASDAQ,"comcast, cmcsa, nasdaq, corporation, ֠comcast, msci, fox, sky, lockheed, visa",2.066530139,
1456,4fda80b2d91cfacd2a02f9658bb57c74047edc8b,AAPL,3 Things You Need to Know About Apple's A12 Bionic Chip -- The Motley Fool,3 Things You Need to Know About Apple's A12 Bionic Chip Another year another brand-new iPhone chip from Apple. Ashraf Eassa ( TMFChipFool ) Sep 14 2018 at 2:40PM Each year Apple ( NASDAQ:AAPL ) releases new iPhones and inside are new processors that offer performance and feature enhancements over their predecessors. On Sept. 12 Apple continued that tradition announcing three new iPhones: iPhone Xs iPhone Xs Max and iPhone XR -- each packed with a new Apple-designed system-on-a-chip called the A12 Bionic. He,"apple, 's, core, apple, watch, fool, motley, motley, n't, fitbit",0.598972527,
1592,c5a658f587c6c8afe37c5cd5eff4051603f6f9c6,AAPL,3 Things You Need to Know About Apple's A12 Bionic Chip | Fox Business,Print Each year Apple (NASDAQ: AAPL) releases new iPhones and inside are new processors that offer performance and feature enhancements over their predecessors. On Sept. 12 Apple continued that tradition announcing three new iPhones: iPhone Xs iPhone Xs Max and iPhone XR -- each packed with a new Apple-designed system-on-a-chip called the A12 Bionic. Here are three key things you need to know about Apple's latest silicon creation. Continue Reading Below Built using 7-nanometer tech In its press release Appl,"apple, 's, core, apple, watch, fool, motley, motley, n't, fitbit",0.601074657,
282,bb377b909eeffcf9489bda52d7ac8c449f8453d5,AAPL,5 Reasons to Consider Selling Your Apple Stock | InvestorPlace,Home > Stock Picks > Stocks to Sell > 5 Reasons to Consider Selling Your Apple Stock Sep 14 2018 11:01 am EDT September 14 2018 5 Reasons to Consider Selling Your Apple Stock Although an unquestioned industry powerhouse Apple stock faces several fundamental challenges to its dominance http://bit.ly/2OqEEdm Source: Shutterstock Roughly a month-and-a-half ago Apple (NASDAQ: AAPL ) made headlines around the world when it became the first $1 trillion company. Not only that Apple stock has continued to impress W,"iphone, apple, xs, iphone, max, 's, xr, n't, iphone, years",0.415246964,
1140,d2c431a7d95af44dcdc49a731ed0f3fe84b67644,AAPL,A Side-by-side Analysis of Apple Inc. (AAPL) and First Data Corporation (FDC) ֠Stock News Gazette,58 mins ago September 14 2018 Apple Inc. (NASDAQ:AAPL) shares are up more than 33.79% this year and recently increased 2.42% or $5.34 to settle at $226.41. First Data Corporation (NYSE:FDC) on the other hand is up 54.04% year to date as of 09/13/2018. It currently trades at $25.74 and has returned 1.42% during the past week. Apple Inc. (NASDAQ:AAPL) and First Data Corporation (NYSE:FDC) are the two most active stocks in the Electronic Equipment industry based on todayӳ trading volumes. To determine if one i,"settled, cash, flow, compared, cash, return, risk, years, short, price",0.998325116,0
64,b95f6bcd5947422485def8e472f79642fa759667,AAPL,Acuity Brands (AYI) Stake Boosted by Liberty Mutual Group Asset Management Inc; 3M Company (MMM) Valuation Rose While Shelter Mutual Insurance Co Has Cut Its Holding by $803600 | The EN Bulletin,Acuity Brands (AYI) Stake Boosted by Liberty Mutual Group Asset Management Inc; 3M Company (MMM) Valuation Rose While Shelter Mutual Insurance Co Has Cut Its Holding by $803600 September 14 2018 - By Mike Johnson Liberty Mutual Group Asset Management Inc increased its stake in Acuity Brands Inc (AYI) by 386.53% based on its latest 2018Q2 regulatory filing with the SEC. Liberty Mutual Group Asset Management Inc bought 6486 shares as the companyӳ stock rose 25.48% with the market. The institutional investor h,"company, raytheon, rtn, 3m, nyse, mmm, inc., southern, gilead, gilead",1.429601572,
24,1994ec029a5538f0ce94b4b7ddc24d86834ff164,AMZN,Vident Investment Advisory Boosted Merck & Co (MRK) Position by $571140 as Market Valuation Rose; Amazon.Com (AMZN) Shareholder Folger Nolan Fleming Douglas Capital Management Has Lifted Its Holding | The EN Bulletin,Vident Investment Advisory Boosted Merck & Co (MRK) Position by $571140 as Market Valuation Rose; Amazon.Com (AMZN) Shareholder Folger Nolan Fleming Douglas Capital Management Has Lifted Its Holding September 14 2018 - By Rachel Eickhoff Folger Nolan Fleming Douglas Capital Management Inc increased its stake in Amazon.Com Inc (AMZN) by 56.42% based on its latest 2018Q2 regulatory filing with the SEC. Folger Nolan Fleming Douglas Capital Management Inc bought 1309 shares as the companyӳ stock rose 16.73% wit,"merck, mrk, co., nyse, co., inc., ֠merck, mrk, stores, option",1.578013022,
25,66c68d6b530cdb68c215a5ba1c569b24733c9c70,AMZN,Ledyard National Bank Has Trimmed Its Amazon Com (AMZN) Holding by $3.27 Million; Stock Price Rose; Partnervest Advisory Services Has Trimmed Sempra Energy (SRE) Stake as Stock Price Rose | The EN Bulletin,Ledyard National Bank Has Trimmed Its Amazon Com (AMZN) Holding by $3.27 Million; Stock Price Rose; Partnervest Advisory Services Has Trimmed Sempra Energy (SRE) Stake as Stock Price Rose September 14 2018 - By Glen Chin Partnervest Advisory Services Llc decreased its stake in Sempra Energy (SRE) by 26.72% based on its latest 2018Q2 regulatory filing with the SEC. Partnervest Advisory Services Llc sold 4000 shares as the companyӳ stock rose 3.31% with the market. The institutional investor held 10970 shares,"amazon.com, amzn, amazon.com, amazon.com, inc., nasdaq, amazon, corporation, amzn, investment",1.361233416,
26,56b2966b5e36ebf0d68eb3ba071ad744301d0a09,AMZN,Baupost Group Trimmed Its Holding in Cheniere Energy (LNG) by $424.46 Million; Legacy Private Trust Boosted Bank Amer (BAC) Holding by $859572 | The EN Digest,Baupost Group Trimmed Its Holding in Cheniere Energy (LNG) by $424.46 Million; Legacy Private Trust Boosted Bank Amer (BAC) Holding by $859572 September 14 2018 - By Rachel Eickhoff Baupost Group Llc decreased its stake in Cheniere Energy Inc (LNG) by 31.51% based on its latest 2018Q2 regulatory filing with the SEC. Baupost Group Llc sold 6.53 million shares as the companyӳ stock rose 2.78% with the market. The hedge fund held 14.20M shares of the public utilities company at the end of 2018Q2 valued at $925,"energy, energy, energy, dominion, inc., d, diagnostics, lng, microsoft, carnival",1.357608648,
27,59e3296612ee371581f8fd421de3ef680ea7b1f7,AMZN,Lincoln National Has Decreased Amazon Com (AMZN) Position By $1.17 Million; Mirae Asset Global Investments Has Increased By $738642 Its Northrop Grumman (NOC) Holding | The EN Bulletin,Lincoln National Has Decreased Amazon Com (AMZN) Position By $1.17 Million; Mirae Asset Global Investments Has Increased By $738642 Its Northrop Grumman (NOC) Holding September 14 2018 - By Rhonda Roth Lincoln National Corp decreased Amazon Com Inc (AMZN) stake by 16.75% reported in 2018Q2 SEC filing. Lincoln National Corp sold 686 shares as Amazon Com Inc (AMZN)ӳ stock rose 16.73%. The Lincoln National Corp holds 3409 shares with $5.80M value down from 4095 last quarter. Amazon Com Inc now has $965.11B val,"amazon.com, amzn, amazon.com, amazon.com, inc., nasdaq, amazon, corporation, amzn, investment",1.331370036,
28,fe9a175c63cbdd2311429ec1310cbb7257475955,MSFT,Microsoft (MSFT) Stake Has Upped by Suncoast Equity Management; Personal Capital Advisors Cut Its California Wtr Svc Group (CWT) Stake as Share Price Rose | The D Minute,Microsoft (MSFT) Stake Has Upped by Suncoast Equity Management; Personal Capital Advisors Cut Its California Wtr Svc Group (CWT) Stake as Share Price Rose September 14 2018 - By Clara Lewis Personal Capital Advisors Corp decreased its stake in California Wtr Svc Group (CWT) by 2.66% based on its latest 2018Q2 regulatory filing with the SEC. Personal Capital Advisors Corp sold 8795 shares as the companyӳ stock rose 6.45% with the market. The institutional investor held 322173 shares of the water supply compa,"microsoft, microsoft, msft, corporation, microsoft, corporation, nasdaq, investment, investment, msft",2.12904288,
29,5fa95296ef83272696123ada3ee181a9d524177e,AMZN,Chemical Bank Position in Aetna (AET) Decreased by $364170; As Cogent Communications Hldgs (CCOI) Shares Rose Harber Asset Management Has Cut by $3.56 Million Its Holding | The Cardinal Weekly,Chemical Bank Position in Aetna (AET) Decreased by $364170; As Cogent Communications Hldgs (CCOI) Shares Rose Harber Asset Management Has Cut by $3.56 Million Its Holding September 14 2018 - By Richard Slagle Harber Asset Management Llc decreased its stake in Cogent Communications Hldgs (CCOI) by 33.62% based on its latest 2018Q2 regulatory filing with the SEC. Harber Asset Management Llc sold 67115 shares as the companyӳ stock rose 4.03% with the market. The hedge fund held 132542 shares of the technology ,"n.v., inc., n.v., intuit, management, ellis, capital, n, asset, asset",0.680707565,
30,4381fb06e9addc4a32d09b68aafd359d76a83c1d,MSFT,As Te Connectivity LTD (TEL) Stock Declined Shareholder Kessler Investment Group Decreased Stake by $827904; Microsoft (MSFT) Shares Rose While Cubic Asset Management Lowered Its Stake | The Cardinal Weekly,As Te Connectivity LTD (TEL) Stock Declined Shareholder Kessler Investment Group Decreased Stake by $827904; Microsoft (MSFT) Shares Rose While Cubic Asset Management Lowered Its Stake September 14 2018 - By Megan Stone Kessler Investment Group Llc decreased its stake in Te Connectivity Ltd (TEL) by 99.28% based on its latest 2018Q2 regulatory filing with the SEC. Kessler Investment Group Llc sold 9856 shares as the companyӳ stock declined 6.60% while stock markets rallied. The institutional investor held 7,"microsoft, microsoft, msft, corporation, microsoft, corporation, nasdaq, investment, investment, msft",0.448721543,
31,40d1580a0b77808afc6c2717cbd741f69a0de6fd,MSFT,Academy Capital Management Trimmed Stake in Microsoft (MSFT) by $3.08 Million as Valuation Rose; Horizon Kinetics Trimmed Its Cbs New (CBS) Stake by $555576 | The Cardinal Weekly,Academy Capital Management Trimmed Stake in Microsoft (MSFT) by $3.08 Million as Valuation Rose; Horizon Kinetics Trimmed Its Cbs New (CBS) Stake by $555576 September 14 2018 - By Robert Shackelford Horizon Kinetics Llc decreased its stake in Cbs Corp New (CBS) by 10.54% based on its latest 2018Q2 regulatory filing with the SEC. Horizon Kinetics Llc sold 9921 shares as the companyӳ stock rose 1.62% with the market. The hedge fund held 84219 shares of the broadcasting company at the end of 2018Q2 valued at $,"cbs, corporation, facebook, ֠cbs, fb, facebook, altria, lpl, facebook, inc.",1.844423128,
32,7af79e8416e7de2d7a6b496c05c09b83e131222c,MSFT,As Microsoft (MSFT) Shares Rose Golub Group Trimmed Its Holding; As Motorcar Pts Amer (MPAA) Stock Rose Shareholder Fine Capital Partners LP Has Cut Stake by $1.15 Million | The EN Bulletin,As Microsoft (MSFT) Shares Rose Golub Group Trimmed Its Holding; As Motorcar Pts Amer (MPAA) Stock Rose Shareholder Fine Capital Partners LP Has Cut Stake by $1.15 Million September 14 2018 - By Ashley Bratcher Fine Capital Partners Lp decreased its stake in Motorcar Pts Amer Inc (MPAA) by 4.59% based on its latest 2018Q2 regulatory filing with the SEC. Fine Capital Partners Lp sold 63753 shares as the companyӳ stock rose 20.57% with the market. The hedge fund held 1.32M shares of the capital goods company ,"microsoft, microsoft, msft, corporation, microsoft, corporation, nasdaq, investment, investment, msft",0.387911343,
33,89c5576184ef58ad6978d322a247bdf71ca86b17,MSFT,Intel (INTC) Shareholder Fiduciary Trust Company Has Trimmed Its Position by $1.37 Million; Eagle Capital Management Continues to Hold Holding in Barclays Plc (BCS) | K Reviewer,Intel (INTC) Shareholder Fiduciary Trust Company Has Trimmed Its Position by $1.37 Million; Eagle Capital Management Continues to Hold Holding in Barclays Plc (BCS) September 14 2018 - By Eric Painter Fiduciary Trust Company decreased its stake in Intel Corp (INTC) by 3.57% based on its latest 2018Q2 regulatory filing with the SEC. Fiduciary Trust Company sold 27943 shares as the companyӳ stock declined 18.35% while stock markets rallied. The institutional investor held 754090 shares of the semiconductors c,"intel, intel, intc, corporation, intel, nasdaq, corporation, ֠intel, intc, nasdaq",0.955646767,
34,698407200a02bfe427b325be4b4ebf672b9b237c,MSFT,P-R Herzig & Co Trimmed By $450702 Its Microsoft (MSFT) Holding; MPLX LP (MPLX) Had 7 Analysts Last Week | The EN Bulletin,P-R Herzig & Co Trimmed By $450702 Its Microsoft (MSFT) Holding; MPLX LP (MPLX) Had 7 Analysts Last Week September 14 2018 - By Ashley Bratcher P-R Herzig & Co decreased Microsoft Corp (MSFT) stake by 13.57% reported in 2018Q2 SEC filing. P-R Herzig & Co sold 4599 shares as Microsoft Corp (MSFT)ӳ stock rose 10.77%. The P-R Herzig & Co holds 29286 shares with $2.89 million value down from 33885 last quarter. Microsoft Corp now has $869.58B valuation. The stock increased 0.43% or $0.49 during the last trading,"microsoft, microsoft, msft, corporation, microsoft, corporation, nasdaq, investment, portfolio, portfolio",1.702379764,
35,21c99bcad13c9a90a0a5ec8f24cddfdc70cf682f,MSFT,Golub Group Has Increased Us Bancorp Del (USB) Stake; SMTC Has 0.88 Sentiment | The EN Digest,Golub Group Has Increased Us Bancorp Del (USB) Stake; SMTC Has 0.88 Sentiment September 14 2018 - By Catherine Smith Golub Group Llc increased Us Bancorp Del (USB) stake by 118.12% reported in 2018Q2 SEC filing. Golub Group Llc acquired 28868 shares as Us Bancorp Del (USB)ӳ stock rose 4.84%. The Golub Group Llc holds 53308 shares with $2.67 million value up from 24440 last quarter. Us Bancorp Del now has $88.21 billion valuation. The stock increased 0.24% or $0.13 during the last trading session reaching $5,"bancorp, usb, bancorp, nyse, u.s., apple, horizon, aapl, apple, ֠u.s",1.617252948,
